name,scenario,scen_value,rank,metric,base_rank,rank_diff,xval
"GOArockfish, quillbackDEM1",drate_6,7.933414970830639,4,mean_drate,5,-1,0.6
"GOAshark, salmonUSRK",drate_6,7.775564031856244,5,mean_drate,3,2,0.6
"GOArockfish, rosethornROCK",drate_6,7.5278488483399455,6,mean_drate,6,0,0.6
"BSAIoctopus, North PacificOCTP",drate_6,7.121212184576943,7,mean_drate,8,-1,0.6
"GOAoctopus, North PacificOCTP",drate_6,7.046894824303808,8,mean_drate,11,-3,0.6
"BSAIshark, salmonUSRK",drate_6,7.040328961412439,9,mean_drate,7,2,0.6
"GOArockfish, widowROCK",drate_6,7.009414550198195,10,mean_drate,12,-2,0.6
"GOArockfish, tigerDEM1",drate_6,6.988878145593787,11,mean_drate,13,-2,0.6
"GOArockfish, tigerROCK",drate_6,6.979037105035135,12,mean_drate,10,2,0.6
BSAIPacific sleeper sharkUSRK,drate_6,6.971472409830753,13,mean_drate,9,4,0.6
"GOArockfish, quillbackROCK",drate_6,6.711087933386406,14,mean_drate,14,0,0.6
"GOArockfish, canaryDEM1",drate_6,6.653020480169882,15,mean_drate,16,-1,0.6
"GOArockfish, chinaDEM1",drate_6,6.5632052416796,16,mean_drate,17,-1,0.6
"GOArockfish, chinaROCK",drate_6,6.5601780252673505,17,mean_drate,15,2,0.6
"GOArockfish, copperROCK",drate_6,6.4555484028838315,18,mean_drate,18,0,0.6
"GOArockfish, copperDEM1",drate_6,6.430132725779672,19,mean_drate,19,0,0.6
"GOArockfish, yellowtailROCK",drate_6,6.191617567088788,20,mean_drate,20,0,0.6
"GOArockfish, canaryROCK",drate_6,6.035392033005474,21,mean_drate,21,0,0.6
"GOArockfish, vermilionROCK",drate_6,5.750541401423802,22,mean_drate,23,-1,0.6
"GOAgreenling, atka mackerelAMCK",drate_6,5.6704988104028535,23,mean_drate,25,-2,0.6
"GOArockfish, blackgillROCK",drate_6,5.608497344391834,24,mean_drate,27,-3,0.6
"BSAIshark, spiny dogfishUSRK",drate_6,5.573874092914685,25,mean_drate,22,3,0.6
"GOArockfish, splitnoseROCK",drate_6,5.552445784653485,26,mean_drate,24,2,0.6
"GOArockfish, darkblotchedROCK",drate_6,5.519752898784219,27,mean_drate,26,1,0.6
"GOArockfish, yellowmouthROCK",drate_6,5.333970253553954,28,mean_drate,30,-2,0.6
"GOArockfish, pygmyROCK",drate_6,5.3324409459141116,29,mean_drate,28,1,0.6
"GOArockfish, greenstripeROCK",drate_6,5.159227369755606,30,mean_drate,29,1,0.6
"GOArockfish, stripetailROCK",drate_6,4.75670718796557,31,mean_drate,31,0,0.6
"GOArockfish, bocaccioROCK",drate_6,4.736328284171514,32,mean_drate,32,0,0.6
"GOArockfish, auroraROCK",drate_6,4.349008383341537,33,mean_drate,33,0,0.6
"GOArockfish, chilipepperROCK",drate_6,4.065457406347522,34,mean_drate,34,0,0.6
"GOArockfish, shortbellyROCK",drate_6,3.9035714285714285,35,mean_drate,35,0,0.6
GOAPacific sleeper sharkUSRK,drate_7,8.456721198409095,1,mean_drate,1,0,0.7
"GOArockfish, yelloweye (red snapper)ROCK",drate_7,8.005824263005794,2,mean_drate,4,-2,0.7
"GOArockfish, rosethornDEM1",drate_7,8.003688321043407,3,mean_drate,2,1,0.7
"GOArockfish, quillbackDEM1",drate_7,7.955356443474369,4,mean_drate,5,-1,0.7
"GOAshark, salmonUSRK",drate_7,7.86761694053234,5,mean_drate,3,2,0.7
"GOArockfish, rosethornROCK",drate_7,7.597243843173073,6,mean_drate,6,0,0.7
"BSAIoctopus, North PacificOCTP",drate_7,7.191272749090599,7,mean_drate,8,-1,0.7
"BSAIshark, salmonUSRK",drate_7,7.136545203168548,8,mean_drate,7,1,0.7
"GOAoctopus, North PacificOCTP",drate_7,7.095199972149839,9,mean_drate,11,-2,0.7
BSAIPacific sleeper sharkUSRK,drate_7,7.0617444687799935,10,mean_drate,9,1,0.7
"GOArockfish, tigerROCK",drate_7,7.049612918962854,11,mean_drate,10,1,0.7
"GOArockfish, widowROCK",drate_7,7.037766114910363,12,mean_drate,12,0,0.7
"GOArockfish, tigerDEM1",drate_7,7.015007581621285,13,mean_drate,13,0,0.7
"GOArockfish, quillbackROCK",drate_7,6.756109393571152,14,mean_drate,14,0,0.7
"GOArockfish, canaryDEM1",drate_7,6.663412420852953,15,mean_drate,16,-1,0.7
"GOArockfish, chinaROCK",drate_7,6.601088385342186,16,mean_drate,15,1,0.7
"GOArockfish, chinaDEM1",drate_7,6.57278764644862,17,mean_drate,17,0,0.7
"GOArockfish, copperROCK",drate_7,6.46442786417221,18,mean_drate,18,0,0.7
"GOArockfish, copperDEM1",drate_7,6.4402494063042335,19,mean_drate,19,0,0.7
"GOArockfish, yellowtailROCK",drate_7,6.202017153316109,20,mean_drate,20,0,0.7
"GOArockfish, canaryROCK",drate_7,6.0536866753712335,21,mean_drate,21,0,0.7
"GOArockfish, vermilionROCK",drate_7,5.781691932175061,22,mean_drate,23,-1,0.7
"GOAgreenling, atka mackerelAMCK",drate_7,5.683434680562499,23,mean_drate,25,-2,0.7
"BSAIshark, spiny dogfishUSRK",drate_7,5.667121279656182,24,mean_drate,22,2,0.7
"GOArockfish, blackgillROCK",drate_7,5.608497344391834,25,mean_drate,27,-2,0.7
"GOArockfish, splitnoseROCK",drate_7,5.602413257346871,26,mean_drate,24,2,0.7
"GOArockfish, darkblotchedROCK",drate_7,5.568628765371341,27,mean_drate,26,1,0.7
"GOArockfish, pygmyROCK",drate_7,5.374348978162544,28,mean_drate,28,0,0.7
"GOArockfish, yellowmouthROCK",drate_7,5.333970253553954,29,mean_drate,30,-1,0.7
"GOArockfish, greenstripeROCK",drate_7,5.2272114024693614,30,mean_drate,29,1,0.7
"GOArockfish, stripetailROCK",drate_7,4.757039022551977,31,mean_drate,31,0,0.7
"GOArockfish, bocaccioROCK",drate_7,4.736328284171514,32,mean_drate,32,0,0.7
"GOArockfish, auroraROCK",drate_7,4.349008383341537,33,mean_drate,33,0,0.7
"GOArockfish, chilipepperROCK",drate_7,4.065457406347522,34,mean_drate,34,0,0.7
"GOArockfish, shortbellyROCK",drate_7,3.9035714285714285,35,mean_drate,35,0,0.7
GOAPacific sleeper sharkUSRK,drate_8,8.55586525318622,1,mean_drate,1,0,0.8
"GOArockfish, rosethornDEM1",drate_8,8.063801500394696,2,mean_drate,2,0,0.8
"GOArockfish, yelloweye (red snapper)ROCK",drate_8,8.041553583665454,3,mean_drate,4,-1,0.8
"GOArockfish, quillbackDEM1",drate_8,7.9772979161181,4,mean_drate,5,-1,0.8
"GOAshark, salmonUSRK",drate_8,7.959669849208437,5,mean_drate,3,2,0.8
"GOArockfish, rosethornROCK",drate_8,7.666638838006202,6,mean_drate,6,0,0.8
"BSAIoctopus, North PacificOCTP",drate_8,7.261333313604254,7,mean_drate,8,-1,0.8
"BSAIshark, salmonUSRK",drate_8,7.232761444924656,8,mean_drate,7,1,0.8
BSAIPacific sleeper sharkUSRK,drate_8,7.152016527729235,9,mean_drate,9,0,0.8
"GOAoctopus, North PacificOCTP",drate_8,7.1435051199958695,10,mean_drate,11,-1,0.8
"GOArockfish, tigerROCK",drate_8,7.120188732890572,11,mean_drate,10,1,0.8
"GOArockfish, widowROCK",drate_8,7.066117679622531,12,mean_drate,12,0,0.8
"GOArockfish, tigerDEM1",drate_8,7.041137017648783,13,mean_drate,13,0,0.8
"GOArockfish, quillbackROCK",drate_8,6.8011308537558985,14,mean_drate,14,0,0.8
"GOArockfish, canaryDEM1",drate_8,6.673804361536023,15,mean_drate,16,-1,0.8
"GOArockfish, chinaROCK",drate_8,6.64199874541702,16,mean_drate,15,1,0.8
"GOArockfish, chinaDEM1",drate_8,6.58237005121764,17,mean_drate,17,0,0.8
"GOArockfish, copperROCK",drate_8,6.473307325460589,18,mean_drate,18,0,0.8
"GOArockfish, copperDEM1",drate_8,6.450366086828794,19,mean_drate,19,0,0.8
"GOArockfish, yellowtailROCK",drate_8,6.21241673954343,20,mean_drate,20,0,0.8
"GOArockfish, canaryROCK",drate_8,6.071981317736992,21,mean_drate,21,0,0.8
